respondent_id,Stokke_Xplory_Stroller_only,Stokke_Xplory_with_Carry_Cot,Babyzen_Yoyo2_Stroller_only,Babyzen_Yoyo2_with_Carry_Cot,Cybex_Priam,Mima_Xari,Joolz_Day,Bugaboo_Fox_3,Uppababy_Vista_V2,Joolz_Aer,Bugaboo_Butterfly,Nuna_TRVL,Cybex_Eezy_S_2,Easywalker_Jackey,p1_1,p1_2,p1_3,p1_4,p1_5,p2_1,p2_2,p2_3,p2_4,p2_5,p3_1,p3_2,p3_3,p3_4,p3_5,p4_1,p4_2,p4_3,p4_4,p4_5,p5_1,p5_2,p5_3,p5_4,p5_5,p6_1,p6_2,p6_3,p6_4,p6_5,p7_1,p7_2,p7_3,p7_4,p7_5,p8_1,p8_2,p8_3,p8_4,p8_5,p9_1,p9_2,p9_3,p9_4,p9_5,p10_1,p10_2,p10_3,p10_4,p10_5,p11_1,p11_2,p11_3,p11_4,p11_5,p12_1,p12_2,p12_3,p12_4,p12_5,p13_1,p13_2,p13_3,p13_4,p13_5,p14_1,p14_2,p14_3,p14_4,p14_5,NONE,filter_weight,Age,Pregnant,Gender,CustomerSegment,Income,Children
4833,-0.670642648,-2.234270032,-0.448271755,-0.365120507,-0.801050144,-2.660970705,-2.486607682,-2.280369355,-2.019114563,1.022646939,2.420343962,3.332084083,4.424666842,2.766675564,1.081544764,0.412977669,-0.046382082,-0.321104695,-1.127035656,0.856952563,0.588866603,0.582312393,0.364079798,-2.392211356,0.448453214,0.290703356,-0.085813119,-0.229396178,-0.423947272,0.881074952,0.722810516,-0.062251443,-0.699459567,-0.842174459,0.503940934,0.311910756,0.191064372,-0.009449763,-0.997466299,1.474346639,0.705296075,0.037911054,-1.061113521,-1.156440247,0.476174838,-0.002145073,-0.125277908,-0.12909742,-0.219654437,0.597021367,-0.035573315,-0.148672707,-0.171073137,-0.241702209,1.708051194,0.369808851,-0.375052387,-0.635121323,-1.067686335,0.520791643,0.231397172,0.125032683,-0.04227196,-0.834949538,0.345153293,0.322102749,0.282581539,0.151091102,-1.100928683,0.23569812,0.125778486,0.113793615,-0.200527183,-0.274743037,0.760472715,0.065112885,0.015809356,-0.145384417,-0.696010539,0.152306212,0.148223374,0.124374029,0.118397032,-0.543300647,-0.709146789,1,2,2,1,2,8,1
4849,-1.624047601,-1.994267357,1.897787408,-0.10733695,0.255801417,-3.022517334,-2.545545555,-1.282006171,-2.549398055,2.29433955,2.283037433,2.259821242,3.109620694,1.024711281,0.635023955,0.572308759,0.274634608,-0.356371885,-1.125595437,0.66166118,0.617045618,0.608986364,0.502330535,-2.390023697,0.282794459,0.200273677,0.105054289,-0.031731163,-0.556391263,1.078123266,0.865345176,-0.342811952,-0.777505003,-0.823151487,0.927460038,0.721969065,0.456497358,-0.422079094,-1.683847367,1.749501607,0.670283812,0.032455755,-1.069753154,-1.38248802,0.349073566,0.016763156,-0.063456838,-0.095018687,-0.207361196,0.635641729,-0.010589605,-0.161641362,-0.226941029,-0.236469732,2.014478369,0.563413824,-0.304890955,-0.931935587,-1.34106565,0.616433185,0.05042392,-0.05499994,-0.067837175,-0.544019991,0.691078142,0.621564636,0.556579362,-0.148759082,-1.720463059,0.316099838,0.106926878,0.068971106,-0.232910144,-0.259087678,0.690609778,0.263167828,0.248189429,-0.174545779,-1.027421256,0.279113525,0.249751647,0.204994739,0.204245482,-0.938105392,2.374173896,1,2,1,1,5,5,2
4854,0.927508843,2.80069004,-2.237000396,-0.170355204,3.522625905,1.071772626,0.573909236,3.805485364,2.244088701,-2.090343782,-2.01405053,-2.865768582,-1.825230735,-3.743331485,0.049940963,0.005825982,0.003668094,-0.021576942,-0.037858098,0.08405446,0.04541674,0.00940287,-0.01327018,-0.125603889,0.132613034,0.050588043,0.048254404,0.0470931,-0.278548582,0.551897199,0.025237494,-0.032161413,-0.26850754,-0.276465741,0.086349985,0.011646979,0.010847658,-0.007491606,-0.101353016,0.033725257,0.018710255,0.015148938,0.011405417,-0.078989868,0.068996905,0.05505284,0.009526043,-0.047841187,-0.085734601,0.074974478,0.061347908,0.021846455,0.004331117,-0.162499959,0.075197107,0.042336687,0.041963851,-0.069144895,-0.09035275,0.029224841,0.005524183,-0.001065049,-0.015562232,-0.018121743,0.22543621,0.092317257,0.080869996,-0.183467788,-0.215155673,0.438628228,0.159557964,0.081226822,-0.110548355,-0.568864659,0.271510518,0.149700639,0.1207562,0.020827252,-0.562794609,0.231971561,0.110294878,-0.07395001,-0.083171881,-0.185144548,-1.463450167,1,1,2,1,4,7,1
4857,-0.905008539,-1.708459594,-0.291325493,-1.088744994,-1.252159191,1.891846326,1.053451393,-1.587131258,-1.122915346,1.016450333,0.707865177,2.282680665,1.142989019,-0.139538497,0.358560327,0.10922315,-0.035214804,-0.064212332,-0.368356341,0.393242326,0.306756968,0.301950626,-0.163285199,-0.838664722,0.521459083,0.321195107,-0.070438911,-0.214671259,-0.55754402,0.744001417,0.278207893,-0.081757511,-0.285956951,-0.654494849,0.078115044,0.018850956,0.001639642,-0.020747721,-0.077857922,0.942667902,0.361819701,0.228899404,-0.706060189,-0.827326819,0.248694847,-0.025826433,-0.028502442,-0.030642671,-0.163723301,0.3787628,0.068361254,-0.060777908,-0.076095277,-0.31025087,0.490090936,0.137222401,0.002416854,-0.22972449,-0.400005701,0.252578818,0.206053319,0.14756156,-0.01993811,-0.586255588,0.11651915,0.04640796,0.027511681,-0.075940524,-0.114498266,0.080166369,0.037495879,0.028109916,0.014327727,-0.160099891,0.477672179,0.089446111,-0.079192732,-0.166022311,-0.321903248,0.094078202,0.078251712,0.011469234,0.007357641,-0.191156788,-7.114605704,1,1,1,2,2,6,1
4862,-0.640107124,1.292242543,-1.435270812,-1.46282921,1.802574277,-1.410980687,1.629719644,-0.347191423,-0.455155461,1.808585416,0.584054412,-0.864503119,0.769076047,-1.270214503,0.258623662,0.049264124,-0.047088895,-0.087997835,-0.172801056,0.193866022,0.160030061,0.121540255,0.002890182,-0.47832652,0.279270078,0.068808995,-0.040276364,-0.07290638,-0.234896328,0.536343934,0.291939314,-0.096022499,-0.299062024,-0.433198725,0.133739526,0.056107643,0.037473976,-0.003617087,-0.223704058,0.320062366,0.035923444,-0.019955878,-0.159584113,-0.176445819,0.358451264,0.016161903,-0.065237753,-0.092527348,-0.216848066,0.198070439,0.073737599,-0.02874921,-0.053121766,-0.189937062,0.639406802,0.181749875,0.099595064,-0.30990247,-0.61084927,0.159320217,0.037576201,0.023382825,-0.003626325,-0.216652918,0.235637939,0.12438679,0.104585017,-0.162737965,-0.301871781,0.203382217,0.133943381,0.110684136,-0.081567834,-0.366441899,0.392500051,0.085678689,0.012650848,-0.081766611,-0.409062976,0.251961134,0.150475982,-0.03264949,-0.037497063,-0.332290563,-4.962559137,1,2,2,2,4,5,1
4864,1.351465057,2.202563869,-1.259763608,1.490769067,0.046523938,3.460451635,2.918582185,1.229247668,1.765144945,-2.364342395,-2.639636766,-2.069855291,-2.663777161,-3.467373145,0.261724692,0.008700471,-0.068627758,-0.085832354,-0.115965051,0.105895024,0.080857084,0.035152476,-0.082180354,-0.139724229,0.191028848,0.096475341,0.028936251,0.010927393,-0.327367835,0.589807951,-0.027096599,-0.050990537,-0.185322875,-0.326397939,0.037471196,-0.000627767,-0.000887511,-0.001484759,-0.034471159,0.229503966,-0.006207598,-0.023531868,-0.097134785,-0.102629715,0.083600107,0.006584331,-0.019986941,-0.029320139,-0.040877358,0.232615197,0.166912488,0.111438928,0.036168675,-0.547135288,0.076011436,0.022660264,0.022476132,-0.022340411,-0.098807422,0.06663383,0.038158622,0.023244451,-0.018549318,-0.109487586,0.077588157,0.006912088,-0.010530109,-0.036673943,-0.037296192,0.276266083,0.179276771,0.152693364,0.140345687,-0.748581906,0.170669651,0.091464381,-0.042210353,-0.053861201,-0.166062478,0.147582143,0.071510701,-0.033451113,-0.034102632,-0.151539099,-9.494572656,1,2,2,1,4,5,1
4868,1.157912304,2.060348309,-1.777269521,-0.635090406,2.483332076,-0.793975664,-0.202599021,0.951924802,0.397307643,0.407773233,-1.323642887,-1.642637704,-0.038258228,-1.045124935,0.457805787,0.072042961,-0.095670089,-0.213313577,-0.220865082,0.166334155,0.11926345,0.039746489,-2.88E-05,-0.325315297,0.251671588,-0.003440271,-0.029540871,-0.039645412,-0.179045034,0.531078238,0.225920897,-0.103729131,-0.280255667,-0.373014338,0.146259564,0.103690005,0.051778961,0.00737228,-0.30910081,0.328192885,0.031578639,-0.037229724,-0.148326531,-0.174215269,0.173704696,-0.000121842,-0.038637836,-0.056991434,-0.077953584,0.131119785,0.098120137,0.06505287,-0.008149833,-0.286142959,0.448383936,0.04815123,0.009666657,-0.157472717,-0.348729106,0.108602902,0.031481018,-0.026871457,-0.051004768,-0.062207695,0.217463096,0.028537637,0.02375741,-0.109637478,-0.160120665,0.169634751,0.119504974,0.070891053,-0.004361447,-0.355669331,0.08512295,0.045388993,-0.000270255,-0.044321152,-0.085920536,0.058349854,0.015147957,-0.007732922,-0.011557252,-0.054207637,-6.331120072,1,2,2,1,3,9,1
4871,-0.940266676,1.063924181,-1.387595629,-0.90685731,2.03073631,-1.433795608,-1.383198486,0.432423441,-0.258162678,1.12013956,1.895621756,-0.738323013,0.605752375,-0.100398222,0.338204869,0.141718537,-0.045469826,-0.139513194,-0.294940386,0.310767866,0.167149203,0.137519701,0.004408509,-0.619845279,0.158408852,0.034049989,-9.38E-05,-0.041940212,-0.150424793,0.349934449,0.165261174,-0.107704566,-0.185142817,-0.222348239,0.222893258,0.119382307,0.069604451,-0.066160205,-0.34571981,0.533163633,0.0987325,-0.015233406,-0.234245414,-0.382417313,0.24682578,0.01533864,-0.062581455,-0.0768083,-0.122774665,0.144631225,0.03475487,-0.003618008,-0.047458724,-0.128309364,0.946136907,0.235140278,0.140563171,-0.442913362,-0.878926994,0.161938752,0.039830467,-0.018310363,-0.074249862,-0.109208994,0.254658433,0.103882301,0.078368072,-0.166154825,-0.270753982,0.232456045,0.117623172,0.105622665,-0.005101236,-0.450600646,0.184232553,0.088701699,0.066702895,-0.050403636,-0.289233511,0.154706878,0.08350103,0.025215861,0.020257426,-0.283681196,-4.603631507,1,2,2,2,2,8,1
4873,-1.583052053,-1.441536034,1.687330243,1.08480808,-0.174174541,-2.254926347,-2.41434615,-0.61752289,0.566132002,0.154786025,1.476742875,0.410230738,2.949270329,0.156257723,0.821430785,0.371608763,-0.147927951,-0.31835454,-0.726757056,0.493416988,0.300156068,0.280944602,0.095043183,-1.169560841,0.424160586,0.338955704,0.067094036,0.014977717,-0.845188043,0.633608891,0.13980357,-0.087410691,-0.23220307,-0.453798699,0.540977893,0.308091645,0.046955489,-0.207105296,-0.688919732,1.138176887,0.213267718,-0.013200968,-0.630253019,-0.707990618,0.443423895,-0.053905202,-0.088225916,-0.092425563,-0.208867214,0.640338168,0.088347673,-0.106854188,-0.180414698,-0.441416956,1.464836707,0.407450991,-0.167366281,-0.630363801,-1.074557616,0.28617094,0.159859832,0.111612833,-0.107514523,-0.450129082,0.2284781,0.125300458,0.040375257,-0.146660426,-0.247493389,0.447701009,0.222215732,0.180519459,-0.256070828,-0.594365372,0.140554608,0.062083068,0.029200445,-0.036280804,-0.195557317,0.14614191,0.093206309,0.046785683,0.043423939,-0.329557842,-4.547040936,1,3,2,1,3,5,1
4876,-2.116381993,-1.896963484,0.171306806,1.362785131,-0.765479559,-3.549645943,-2.956706708,-1.953017457,-0.47230087,0.846660441,2.295308978,1.891642814,4.272131235,2.870660609,0.853282913,0.52939446,0.051631525,-0.348075526,-1.086233372,0.664361232,0.52285104,0.507795899,0.380961863,-2.075970034,0.538766095,0.284560669,-0.038428566,-0.204441837,-0.580456359,1.379803555,1.004996997,-0.250753089,-1.007422338,-1.126625125,0.627224325,0.458427193,0.225245163,-0.34581054,-0.965086142,2.180896599,0.514338164,0.055095907,-1.290229701,-1.460100969,0.5504858,0.003433405,-0.14555086,-0.15139652,-0.256971825,0.761814884,0.136494268,-0.160575581,-0.295425294,-0.442308277,2.127242758,0.776979504,-0.548682338,-0.97646767,-1.379072253,0.28420334,0.162058304,0.104076548,0.033035443,-0.583373635,0.394205084,0.324559896,0.180212323,-0.186045545,-0.712931758,0.277510947,0.113533785,0.082584999,-0.201814483,-0.271815248,0.457864971,0.030505402,0.010323921,-0.142631612,-0.356062682,0.140926508,0.133261061,0.101020801,0.09873434,-0.473942709,-1.201638439,1,3,2,1,3,4,1
